disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out
1,0,10,0,"['MALIGNANT MELANOMA', 'NEUROPATHY']",2,2,0,333
1,0,36,0,['MALIGNANT MELANOMA'],1,1,0,595
1,0,9,0,"['MALIGNANT MELANOMA', 'PAPILLOMA']",2,2,0,395
1,0,18,0,['NEUROPATHY'],1,1,0,526
1,0,6,0,"['MALIGNANT MELANOMA', 'CATARACT', 'NEUROPATHY']",3,3,0,291
1,0,43,0,"['ATAXIA', 'MALIGNANT MELANOMA', 'NEUROPATHY']",3,3,0,565
1,0,29,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'ATAXIA', 'PTERYGIUM']",5,4,2,1201
1,0,29,0,"['MALIGNANT MELANOMA', 'CATARACT', 'ATAXIA']",3,3,0,830
1,0,10,0,['MALIGNANT MELANOMA'],1,1,0,392
1,0,159,216,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'FEVER', 'TELANGIECTASIA', 'ATAXIA']",6,4,4,3336
1,0,98,0,"['MELANOCYTIC NEVUS', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",3,2,0,655
1,0,22,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,2,0,1032
1,0,18,0,['MALIGNANT MELANOMA'],1,1,0,564
1,0,1,0,"['HEARING IMPAIRMENT', 'NEUROPATHY', 'MALIGNANT MELANOMA']",3,3,1,211
1,0,13,0,"['MALIGNANT MELANOMA', 'NEUROPATHY']",2,2,0,475
1,0,29,0,['ATAXIA'],1,1,0,417
1,0,43,0,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,480
1,0,61,0,"['PAPILLOMA', 'TELANGIECTASIA', 'MALIGNANT MELANOMA', 'ATAXIA']",4,4,0,819
1,0,4,0,"['ALOPECIA', 'MALIGNANT MELANOMA']",2,2,0,593
1,0,15,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'HEARING IMPAIRMENT']",4,2,5,1105
1,0,25,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,458
1,0,47,0,"['MALIGNANT MELANOMA', 'ATAXIA', 'CATARACT']",3,3,0,400
1,0,35,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA', 'PAPILLOMA']",4,3,1,889
1,0,9,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,673
1,0,22,0,['MALIGNANT MELANOMA'],1,1,0,653
1,0,16,0,['MALIGNANT MELANOMA'],1,1,0,389
1,0,128,153,"['MALIGNANT MELANOMA', 'ATAXIA', 'NEUROPATHY']",3,3,0,605
1,0,31,0,['MALIGNANT MELANOMA'],1,1,0,461
1,0,23,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA', 'PAPILLOMA']",4,3,0,1787
1,0,78,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,2,0,1874
1,0,2,0,['NEUROPATHY'],1,1,0,294
1,0,198,151,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",2,1,0,2065
1,0,104,150,"['CATARACT', 'ATAXIA', 'MALIGNANT MELANOMA']",3,3,0,630
1,0,14,0,"['MALIGNANT MELANOMA', 'NEUROPATHY']",2,2,0,416
1,0,132,153,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'CATARACT', 'CATARACT', 'FEVER', 'TELANGIECTASIA', 'ATAXIA', 'PAPILLOMA']",9,6,5,916
1,0,8,0,['NEUROPATHY'],1,1,0,448
1,0,28,0,['ATAXIA'],1,1,0,433
1,0,32,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,515
1,0,12,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'ATAXIA']",6,3,1,1751
1,0,11,0,"['CATARACT', 'MALIGNANT MELANOMA']",2,2,0,520
1,0,5,0,['ATAXIA'],1,1,0,297
1,0,3,0,"['TELANGIECTASIA', 'ATAXIA', 'MALIGNANT MELANOMA']",3,3,0,270
1,0,30,0,"['PERIPHERAL NEUROPATHY', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'NEUROPATHY', 'NEUROPATHY', 'ALOPECIA']",8,4,6,1438
1,0,16,0,"['MALIGNANT MELANOMA', 'ALOPECIA']",2,2,0,585
1,0,7,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",2,1,1,1027
1,0,1,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",2,1,1,532
1,0,4,0,"['MALIGNANT MELANOMA', 'ATAXIA', 'CATARACT']",3,3,0,419
1,0,173,254,"['TELANGIECTASIA', 'ALOPECIA', 'PAPILLOMA', 'ATAXIA']",4,4,0,581
1,0,4,0,['MALIGNANT MELANOMA'],1,1,0,296
1,0,8,0,"['PAPILLOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,367
1,0,16,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,622
1,0,16,0,"['ALOPECIA', 'NEUROPATHY', 'MALIGNANT MELANOMA']",3,3,0,703
1,0,17,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",6,2,2,1220
1,0,33,0,"['PAPILLOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,438
1,0,5,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ALOPECIA']",8,2,11,432
1,0,8,0,"['PAPILLOMA', 'MALIGNANT MELANOMA']",2,2,0,401
1,0,16,0,"['MALIGNANT MELANOMA', 'CATARACT']",2,2,0,573
1,0,13,0,['ATAXIA'],1,1,0,522
1,0,45,0,['MALIGNANT MELANOMA'],1,1,0,562
1,0,178,132,['PTERYGIUM'],1,1,0,597
1,0,13,0,"['MALIGNANT MELANOMA', 'NEUROPATHY']",2,2,0,996
1,0,15,0,"['PTERYGIUM', 'MALIGNANT MELANOMA', 'PAPILLOMA']",3,3,1,931
1,0,51,0,"['ALOPECIA', 'MALIGNANT MELANOMA']",2,2,0,636
1,0,2,0,['NEUROPATHY'],1,1,0,217
1,0,60,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,454
1,0,23,0,"['HYPERKERATOSIS', 'PERIPHERAL NEUROPATHY', 'PTERYGIUM', 'NEUROPATHY', 'HEARING IMPAIRMENT', 'HEARING IMPAIRMENT']",6,5,6,1786
1,0,16,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'TELANGIECTASIA']",6,3,1,1429
1,0,4,0,['MALIGNANT MELANOMA'],1,1,0,313
1,0,10,0,['ATAXIA'],1,1,0,314
1,0,2,0,['MALIGNANT MELANOMA'],1,1,0,335
1,0,14,0,"['NEUROPATHY', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA']",5,3,2,930
1,0,3,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PTERYGIUM', 'PTERYGIUM', 'PTERYGIUM', 'FATIGUE', 'FEVER', 'TELANGIECTASIA', 'PAPILLOMA']",12,6,6,772
1,0,16,0,"['SQUINT', 'ATAXIA']",2,2,0,310
1,0,103,132,"['MALIGNANT MELANOMA', 'ALOPECIA', 'ATAXIA']",3,3,0,567
1,0,175,111,['MALIGNANT MELANOMA'],1,1,0,497
1,0,17,0,"['MALIGNANT MELANOMA', 'ATAXIA', 'CATARACT']",3,3,0,639
1,0,97,0,['MALIGNANT MELANOMA'],1,1,0,431
1,0,12,0,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,535
1,0,35,0,"['PAPILLOMA', 'MALIGNANT MELANOMA']",2,2,0,2510
1,0,4,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,379
1,0,43,0,"['TELANGIECTASIA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,1100
1,0,13,0,['MALIGNANT MELANOMA'],1,1,0,645
1,0,9,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",2,1,0,405
1,0,5,0,"['FEVER', 'ALOPECIA', 'CATARACT']",3,3,2,1155
1,0,35,0,"['PAPILLOMA', 'MALIGNANT MELANOMA']",2,2,0,472
1,0,5,0,"['NEUROPATHY', 'MALIGNANT MELANOMA']",2,2,0,312
1,0,1,0,['ATAXIA'],1,1,0,73
1,0,3,0,['MALIGNANT MELANOMA'],1,1,0,66
1,0,38,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",2,1,0,651
1,0,12,0,"['PAPILLOMA', 'MALIGNANT MELANOMA']",2,2,0,386
1,0,31,0,"['TELANGIECTASIA', 'MALIGNANT MELANOMA', 'PTERYGIUM', 'CATARACT']",4,4,0,491
1,0,12,0,"['ALOPECIA', 'ATAXIA']",2,2,1,1302
1,0,56,0,"['HEARING IMPAIRMENT', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'ATAXIA']",5,4,1,809
1,0,5,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,320
1,0,33,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",5,2,1,672
1,0,27,0,"['TELANGIECTASIA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,484
1,0,27,0,"['ATAXIA', 'MALIGNANT MELANOMA', 'CATARACT']",3,3,0,504
1,0,2,0,['MALIGNANT MELANOMA'],1,1,0,424
1,0,19,0,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,567
1,0,92,0,"['MALIGNANT MELANOMA', 'PAPILLOMA', 'ATAXIA']",3,3,0,642
1,0,20,0,"['MALIGNANT MELANOMA', 'NEUROPATHY']",2,2,0,592
1,0,161,205,"['TELANGIECTASIA', 'NEUROPATHY', 'ALOPECIA']",3,3,0,518
1,0,58,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,675
1,0,13,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'PAPILLOMA', 'ATAXIA']",7,3,3,509
1,0,4,0,['NEUROPATHY'],1,1,0,590
1,0,13,0,"['ALOPECIA', 'ATAXIA']",2,2,0,511
1,0,26,0,['MALIGNANT MELANOMA'],1,1,0,620
1,0,32,0,"['MALIGNANT MELANOMA', 'ATAXIA', 'CATARACT']",3,3,0,983
1,0,180,436,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,646
1,0,13,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",2,1,0,994
1,0,3,0,['MALIGNANT MELANOMA'],1,1,0,391
1,0,20,0,"['ECTROPION', 'MALIGNANT MELANOMA', 'ALOPECIA']",3,3,0,570
1,0,26,0,"['MALIGNANT MELANOMA', 'ATAXIA', 'PAPILLOMA']",3,3,1,1054
1,0,4,0,['MALIGNANT MELANOMA'],1,1,0,294
1,0,23,0,"['TELANGIECTASIA', 'ATAXIA']",2,2,0,250
1,0,19,0,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,884
1,0,9,0,"['TELANGIECTASIA', 'CATARACT', 'ATAXIA']",3,3,0,1288
1,0,78,0,"['ATAXIA', 'PAPILLOMA']",2,2,0,968
1,0,49,0,"['ATAXIA', 'PAPILLOMA']",2,2,0,912
1,0,12,0,"['MALIGNANT MELANOMA', 'NEUROPATHY']",2,2,0,523
1,0,1,0,['ALOPECIA'],1,1,0,209
1,0,17,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ALOPECIA']",4,2,1,610
1,0,8,0,['MALIGNANT MELANOMA'],1,1,0,450
1,0,4,0,['ATAXIA'],1,1,0,141
1,0,5,0,"['MALIGNANT MELANOMA', 'NEUROPATHY', 'ATAXIA']",3,3,0,357
1,0,21,0,"['NEUROPATHY', 'ATAXIA', 'MALIGNANT MELANOMA']",3,3,0,723
1,0,4,0,"['MALIGNANT MELANOMA', 'BLEPHARITIS']",2,2,0,435
1,0,14,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,341
1,0,34,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'FATIGUE', 'NEUROPATHY', 'HEARING IMPAIRMENT', 'TELANGIECTASIA']",9,5,5,4541
1,0,74,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA', 'NEUROPATHY']",4,3,1,652
1,0,259,326,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,627
1,0,15,0,"['PAPILLOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,488
1,0,8,0,"['MALIGNANT MELANOMA', 'NEUROPATHY']",2,2,0,398
1,0,38,0,"['PAPILLOMA', 'ATAXIA', 'MALIGNANT MELANOMA']",3,3,0,480
1,0,7,0,"['NEUROPATHY', 'MALIGNANT MELANOMA', 'CATARACT']",3,3,1,668
1,0,92,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'CATARACT', 'TELANGIECTASIA']",6,3,0,2637
1,0,9,0,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,380
1,0,175,513,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,4440
1,0,117,130,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,557
1,0,39,0,"['TELANGIECTASIA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,600
1,0,7,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'SQUINT', 'ATAXIA']",5,3,1,602
1,0,181,345,"['MALIGNANT MELANOMA', 'PAPILLOMA', 'ATAXIA', 'ALOPECIA']",4,4,0,827
1,0,44,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA', 'PAPILLOMA']",5,3,2,681
1,0,35,0,['NEUROPATHY'],1,1,0,483
1,0,1,0,"['ATAXIA', 'CATARACT']",2,2,0,914
1,0,13,0,"['MALIGNANT MELANOMA', 'PAPILLOMA']",2,2,0,1536
1,0,15,0,"['HEARING IMPAIRMENT', 'MALIGNANT MELANOMA', 'NEUROPATHY', 'ATAXIA']",4,4,1,480
1,0,93,0,"['PAPILLOMA', 'ATAXIA', 'CATARACT']",3,3,0,570
1,0,100,0,"['PAPILLOMA', 'TELANGIECTASIA', 'MALIGNANT MELANOMA', 'CATARACT', 'ATAXIA']",5,5,0,835
1,0,20,0,"['MALIGNANT MELANOMA', 'ALOPECIA']",2,2,0,457
1,0,20,0,"['PAPILLOMA', 'ATAXIA', 'TELANGIECTASIA']",3,3,0,494
1,0,34,0,"['PAPILLOMA', 'ATAXIA', 'MALIGNANT MELANOMA']",3,3,0,433
1,0,29,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'NEUROPATHY']",3,2,0,2308
1,0,19,0,['ATAXIA'],1,1,0,631
1,0,1,0,"['SQUINT', 'ATAXIA']",2,2,0,133
1,0,161,201,['MALIGNANT MELANOMA'],1,1,0,604
1,0,3,0,['CATARACT'],1,1,0,452
1,0,17,0,"['PERIPHERAL NEUROPATHY', 'CATARACT']",2,2,1,2077
1,0,22,0,"['PERIPHERAL NEUROPATHY', 'MALIGNANT MELANOMA', 'ALOPECIA', 'NEUROPATHY']",4,4,0,868
1,0,24,0,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,437
1,0,105,280,"['PERIPHERAL NEUROPATHY', 'TELANGIECTASIA', 'NEUROPATHY', 'MALIGNANT MELANOMA', 'PTERYGIUM']",5,5,0,1816
1,0,13,0,['ALOPECIA'],1,1,0,508
1,0,12,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,602
1,0,19,0,"['CATARACT', 'NEUROPATHY']",2,2,0,403
1,0,64,0,"['CATARACT', 'ATAXIA', 'MALIGNANT MELANOMA']",3,3,0,1624
1,0,6,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,359
1,0,16,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,462
1,0,63,0,"['NEUROPATHY', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,566
1,0,77,0,"['PAPILLOMA', 'ATAXIA']",2,2,0,663
1,0,7,0,"['CATARACT', 'ATAXIA', 'NEUROPATHY']",3,3,0,272
1,0,0,0,['MALIGNANT MELANOMA'],1,1,0,110
1,0,115,301,"['MALIGNANT MELANOMA', 'PAPILLOMA']",2,2,0,610
1,0,30,0,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,403
1,0,0,0,"['NEUROPATHY', 'ALOPECIA']",2,2,0,301
1,0,0,0,"['NEUROPATHY', 'PAPILLOMA']",2,2,0,342
1,0,33,0,['MALIGNANT MELANOMA'],1,1,0,840
1,0,1,0,['MALIGNANT MELANOMA'],1,1,0,342
1,0,21,0,"['PAPILLOMA', 'PAPILLOMA', 'MALIGNANT MELANOMA', 'NEUROPATHY']",4,3,1,840
1,0,9,0,['MALIGNANT MELANOMA'],1,1,0,573
1,0,21,0,"['MALIGNANT MELANOMA', 'NEUROPATHY']",2,2,0,478
1,0,32,0,"['ENTROPION', 'ECTROPION', 'ATAXIA']",3,3,0,348
1,0,5,0,"['TELANGIECTASIA', 'MALIGNANT MELANOMA']",2,2,0,358
1,0,37,0,"['TELANGIECTASIA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,455
1,0,29,0,"['PAPILLOMA', 'ATAXIA', 'MALIGNANT MELANOMA']",3,3,0,869
1,0,76,0,"['MALIGNANT MELANOMA', 'ATAXIA', 'CATARACT']",3,3,0,510
1,0,17,0,['MALIGNANT MELANOMA'],1,1,0,278
1,0,12,0,['ATAXIA'],1,1,0,140
1,0,13,0,"['ATAXIA', 'ALOPECIA', 'PAPILLOMA']",3,3,0,548
1,0,19,0,"['CATARACT', 'PAPILLOMA']",2,2,0,1072
1,0,26,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",5,2,1,1310
1,0,8,0,['MALIGNANT MELANOMA'],1,1,0,126
1,0,91,0,"['MALIGNANT MELANOMA', 'CATARACT']",2,2,0,1982
1,0,11,0,"['PAPILLOMA', 'MALIGNANT MELANOMA']",2,2,0,595
1,0,8,0,"['XEROSIS', 'XEROSIS', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'PAPILLOMA', 'ERYTHEMA', 'TELANGIECTASIA']",7,5,5,624
1,0,7,0,"['TELANGIECTASIA', 'ALOPECIA']",2,2,0,467
1,0,27,0,"['ATAXIA', 'CATARACT']",2,2,0,463
1,0,2,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",6,1,3,2048
1,0,22,0,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,681
1,0,8,0,"['PAPILLOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,470
1,0,56,0,['MALIGNANT MELANOMA'],1,1,0,1224
1,0,5,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,914
1,0,9,0,['ATAXIA'],1,1,0,588
1,0,96,0,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,777
1,0,155,214,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,2,2,868
1,0,14,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,282
1,0,27,0,"['ATAXIA', 'NEUROPATHY']",2,2,0,653
1,0,44,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'FEVER', 'TELANGIECTASIA']",7,3,4,4746
1,0,29,0,"['MALIGNANT MELANOMA', 'PAPILLOMA', 'ATAXIA']",3,3,0,518
1,0,6,0,"['MALIGNANT MELANOMA', 'NEUROPATHY']",2,2,0,412
1,0,60,0,"['PAPILLOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,584
1,0,14,0,['MALIGNANT MELANOMA'],1,1,0,356
1,0,2,0,['MALIGNANT MELANOMA'],1,1,0,551
1,0,159,246,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ALOPECIA', 'ALOPECIA', 'TELANGIECTASIA', 'ATAXIA', 'NEUROPATHY']",10,5,3,3004
1,0,2,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'TELANGIECTASIA']",4,3,1,507
1,0,3,0,['ATAXIA'],1,1,0,337
1,0,16,0,['NEUROPATHY'],1,1,0,396
1,0,108,50,"['TELANGIECTASIA', 'MALIGNANT MELANOMA', 'NEUROPATHY', 'ATAXIA']",4,4,0,761
1,0,16,0,"['MALIGNANT MELANOMA', 'CATARACT', 'ATAXIA']",3,3,0,423
1,0,8,0,"['PAPILLOMA', 'MALIGNANT MELANOMA']",2,2,0,491
1,0,17,0,"['PAPILLOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,461
1,0,52,0,['MALIGNANT MELANOMA'],1,1,0,804
1,0,30,0,['NEUROPATHY'],1,1,0,268
1,0,42,0,"['ATAXIA', 'TELANGIECTASIA', 'MALIGNANT MELANOMA']",3,3,0,407
1,0,6,0,"['MALIGNANT MELANOMA', 'NEUROPATHY']",2,2,0,417
1,0,26,0,"['HEARING IMPAIRMENT', 'CATARACT']",2,2,1,1306
1,0,2,0,"['MALIGNANT MELANOMA', 'ATAXIA', 'NEUROPATHY']",3,3,0,201
1,0,8,0,"['FATIGUE', 'ATAXIA', 'MALIGNANT MELANOMA']",3,3,1,1684
1,0,49,0,"['NEUROPATHY', 'ATAXIA', 'MALIGNANT MELANOMA']",3,3,1,492
1,0,52,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,694
1,0,0,0,['MALIGNANT MELANOMA'],1,1,0,276
1,0,16,0,['ATAXIA'],1,1,0,388
1,0,5,0,['MALIGNANT MELANOMA'],1,1,0,365
1,0,6,0,"['ALOPECIA', 'ALOPECIA', 'NEUROPATHY', 'ATAXIA']",4,3,1,381
1,0,6,0,"['MALIGNANT MELANOMA', 'PAPILLOMA']",2,2,0,701
1,0,16,0,['ATAXIA'],1,1,0,353
1,0,190,280,"['TELANGIECTASIA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'ATAXIA']",4,4,0,645
1,0,13,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,439
1,0,29,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'CATARACT']",5,2,1,633
1,0,7,0,"['TELANGIECTASIA', 'ATAXIA']",2,2,0,1084
1,0,16,0,"['HEARING IMPAIRMENT', 'HEARING IMPAIRMENT', 'MALIGNANT MELANOMA', 'NEUROPATHY', 'CATARACT']",5,4,2,389
1,0,81,0,"['ATAXIA', 'MALIGNANT MELANOMA']",2,2,0,584
1,0,104,102,"['ALOPECIA', 'TELANGIECTASIA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",5,4,0,883
1,0,36,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'CATARACT', 'CATARACT', 'CATARACT', 'PAPILLOMA']",7,3,11,1038
1,0,80,0,"['TELANGIECTASIA', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,660
1,0,14,0,['MALIGNANT MELANOMA'],1,1,0,384
1,0,37,0,"['CATARACT', 'MALIGNANT MELANOMA']",2,2,0,262
1,0,41,0,"['MALIGNANT MELANOMA', 'CATARACT', 'TELANGIECTASIA', 'ATAXIA']",4,4,0,460
1,0,105,137,"['TELANGIECTASIA', 'ATAXIA']",2,2,0,600
1,0,217,363,"['NEUROPATHY', 'MALIGNANT MELANOMA']",2,2,1,872
1,0,36,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'ATAXIA']",6,3,1,584
1,0,8,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,405
1,0,43,0,"['MALIGNANT MELANOMA', 'NEUROPATHY', 'ATAXIA']",3,3,0,563
1,0,8,0,['MALIGNANT MELANOMA'],1,1,0,288
1,0,48,0,"['MALIGNANT MELANOMA', 'PAPILLOMA', 'NEUROPATHY']",3,3,0,484
1,0,5,0,"['PAPILLOMA', 'SQUINT', 'MALIGNANT MELANOMA']",3,3,0,506
1,0,30,0,['CATARACT'],1,1,0,427
1,0,17,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,382
1,0,1,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",2,1,0,337
1,0,10,0,['NEUROPATHY'],1,1,0,535
1,0,33,0,"['PAPILLOMA', 'MALIGNANT MELANOMA']",2,2,0,1170
1,0,198,380,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'ATAXIA', 'PTERYGIUM']",5,4,2,1233
1,0,12,0,['MALIGNANT MELANOMA'],1,1,0,274
1,0,3,0,"['ATAXIA', 'NEUROPATHY', 'MALIGNANT MELANOMA']",3,3,0,695
1,0,15,0,"['TELANGIECTASIA', 'MALIGNANT MELANOMA', 'NEUROPATHY']",3,3,0,422
1,0,2,0,['NEUROPATHY'],1,1,0,276
1,0,49,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,455
1,0,0,0,"['ATAXIA', 'ALOPECIA']",2,2,0,56
1,0,43,0,"['CATARACT', 'MALIGNANT MELANOMA']",2,2,0,722
1,0,5,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",2,1,3,616
1,0,35,0,['MALIGNANT MELANOMA'],1,1,0,628
1,0,51,0,"['MALIGNANT MELANOMA', 'ATAXIA']",2,2,0,602
1,0,46,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",2,1,0,839
1,0,50,0,"['MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'NEUROPATHY']",3,2,1,1050
1,0,27,0,['MALIGNANT MELANOMA'],1,1,0,586
1,0,27,0,"['ALOPECIA', 'NEUROPATHY', 'ATAXIA']",3,3,1,472
